cancer_type,coverage,top_number
PAN-CAN,22.2682854604679,10
PAN-CAN,28.733589971375,20
PAN-CAN,37.0841970190504,50
PAN-CAN,44.0529069193564,100
ACC,1.08695652173913,10
ACC,5.43478260869565,20
ACC,5.43478260869565,50
ACC,13.0434782608696,100
BLCA,19.7080291970803,10
BLCA,23.6009732360097,20
BLCA,38.1995133819951,50
BLCA,49.6350364963504,100
BRCA,25.5882352941176,10
BRCA,29.2156862745098,20
BRCA,38.5294117647059,50
BRCA,44.3137254901961,100
CESC,23.5294117647059,10
CESC,24.5674740484429,20
CESC,29.4117647058824,50
CESC,36.3321799307959,100
CHOL,8.33333333333333,10
CHOL,11.1111111111111,20
CHOL,25,50
CHOL,30.5555555555556,100
COAD,48.019801980198,10
COAD,58.6633663366337,20
COAD,69.5544554455446,50
COAD,75,100
DLBC,0,10
DLBC,5.40540540540541,20
DLBC,5.40540540540541,50
DLBC,8.10810810810811,100
ESCA,14.6739130434783,10
ESCA,30.9782608695652,20
ESCA,40.7608695652174,50
ESCA,48.9130434782609,100
GBM,11.340206185567,10
GBM,15.979381443299,20
GBM,23.7113402061856,50
GBM,31.9587628865979,100
HNSC,14.9901380670611,10
HNSC,23.2741617357002,20
HNSC,32.3471400394477,50
HNSC,44.5759368836292,100
KICH,0,10
KICH,7.57575757575758,20
KICH,10.6060606060606,50
KICH,13.6363636363636,100
KIRC,0.542005420054201,10
KIRC,1.0840108401084,20
KIRC,1.3550135501355,50
KIRC,2.4390243902439,100
KIRP,3.55871886120997,10
KIRP,3.55871886120997,20
KIRP,3.91459074733096,50
KIRP,4.62633451957295,100
LAML,3.64963503649635,10
LAML,4.37956204379562,20
LAML,8.02919708029197,50
LAML,14.5985401459854,100
LGG,71.5686274509804,10
LGG,74.7058823529412,20
LGG,79.2156862745098,50
LGG,83.3333333333333,100
LIHC,2.75482093663912,10
LIHC,4.6831955922865,20
LIHC,12.1212121212121,50
LIHC,21.763085399449,100
LUAD,14.9805447470817,10
LUAD,28.5992217898833,20
LUAD,37.5486381322957,50
LUAD,49.8054474708171,100
LUSC,9.07216494845361,10
LUSC,12.7835051546392,20
LUSC,22.4742268041237,50
LUSC,34.4329896907217,100
MESO,0,10
MESO,3.65853658536585,20
MESO,6.09756097560976,50
MESO,8.53658536585366,100
OV,8.51581508515815,10
OV,17.7615571776156,20
OV,26.7639902676399,50
OV,40.1459854014599,100
PAAD,48.5714285714286,10
PAAD,52.5714285714286,20
PAAD,65.7142857142857,50
PAAD,70.8571428571429,100
PCPG,0,10
PCPG,0.561797752808989,20
PCPG,8.42696629213483,50
PCPG,9.55056179775281,100
PRAD,2.63157894736842,10
PRAD,3.4412955465587,20
PRAD,6.88259109311741,50
PRAD,9.10931174089069,100
READ,31.5436241610738,10
READ,50.3355704697987,20
READ,60.4026845637584,50
READ,69.1275167785235,100
SARC,2.96610169491525,10
SARC,5.93220338983051,20
SARC,7.20338983050848,50
SARC,13.135593220339,100
SKCM,56.6523605150215,10
SKCM,64.8068669527897,20
SKCM,71.4592274678112,50
SKCM,73.6051502145923,100
STAD,13.6986301369863,10
STAD,25.7990867579909,20
STAD,36.0730593607306,50
STAD,43.37899543379,100
TGCT,5.46875,10
TGCT,6.25,20
TGCT,8.59375,50
TGCT,14.0625,100
THCA,64.969450101833,10
THCA,66.5987780040733,20
THCA,69.6537678207739,50
THCA,70.2647657841141,100
THYM,1.6260162601626,10
THYM,49.5934959349594,20
THYM,50.4065040650407,50
THYM,52.8455284552846,100
UCEC,24.5283018867925,10
UCEC,40.5660377358491,20
UCEC,61.3207547169811,50
UCEC,75.2830188679245,100
UCS,33.3333333333333,10
UCS,47.3684210526316,20
UCS,56.140350877193,50
UCS,73.6842105263158,100
UVM,0,10
UVM,0,20
UVM,76.25,50
UVM,76.25,100
